"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"442213",79.1193611713663,2.50603676008311,0.349508369740098,7.170176674014,7.49010420332894e-13,1.22493164141241e-08,"PTCHD4"
"259232",555.992828181971,0.986343236097253,0.153145260236823,6.44057305183312,1.19023250747636e-10,9.73253121363419e-07,"NALCN"
"23439",32.1227816378139,4.29985649718207,0.708942818492268,6.06516687245202,1.31816718080706e-09,7.18576869163958e-06,"ATP1B4"
"285220",15.1446998924594,4.07495068468975,0.702546596686265,5.80025681415334,6.62134344346992e-09,2.70713626686268e-05,"EPHA6"
"1776",23.7358146227649,2.72546232319426,0.499607145866531,5.45521085065178,4.89147677818e-08,0.000159990422460711,"DNASE1L3"
"284677",69.6849593838658,1.18800451597266,0.2232736061743,5.32084618656288,1.03285702583392e-07,0.000264846784068575,"SNHG28"
"153643",52.4160903842727,2.99303222580517,0.564309169263866,5.30388728169974,1.13362326554973e-07,0.000264846784068575,"FAM81B"
"503639",48.301939006555,2.24766118448286,0.426722950598504,5.26726106793736,1.38474213996091e-07,0.000283075911961508,"DUXAP10"
"652965",33.220291999338,-1.18347883313871,0.226179539974349,-5.23247519768113,1.67255101005678e-07,0.000303921102427429,"SNORA48"
"100507507",95.0695244735681,-1.57752591653226,0.303321765623685,-5.20083322503605,1.983970693021e-07,0.000324458567136654,"FAM131B-AS2"
"442319",170.309937158793,1.42873159179584,0.283507539178353,5.03948359164104,4.66789645085784e-07,0.000693988895975719,"ZNF727"
"245806",18.6557801728196,3.65864697552038,0.742682614478179,4.92625908321687,8.38188442094875e-07,0.00114231114850163,"VGLL2"
"163223",142.848353701519,1.52530258294356,0.314792693883141,4.84541926347817,1.26344583457758e-06,0.00157923562270143,"ZNF676"
"165904",51145.7647108332,-1.0624049204131,0.219870158442816,-4.83196504672283,1.35191994116546e-06,0.00157923562270143,"XIRP1"
"642477",80.9925094120758,2.09083960967281,0.441542514569719,4.73530756536621,2.18723150099903e-06,0.00220948226055494,NA
"66008",14000.0811617981,0.626280032110371,0.132535143204005,4.72538842883633,2.29675910660597e-06,0.00220948226055494,"TRAK2"
"6227",1849.8292510275,-0.639443556352068,0.134735732374649,-4.74590923344684,2.07571783793488e-06,0.00220948226055494,"RPS21"
"644815",103.679528472278,-1.50736186580292,0.323437182844426,-4.66044705357197,3.1552331969638e-06,0.00279242815776326,"SACK1G"
"26040",1042.96030954341,0.632517165085032,0.136050184028831,4.64914597212889,3.33312265178189e-06,0.00279242815776326,"SETBP1"
"91851",174.409164180926,2.16329374948693,0.46581160229209,4.64413882960867,3.41497879144339e-06,0.00279242815776326,"CHRDL1"
